xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
x                 xxxxxxx              xxx           x           x
x  p  xxxxxxxx          x              x x                x xx   x
x     x      x    x  x  x                x           x    x  x   x
x     xxx  xxx    x  x  x              x x                xx x   x
x     x      x    x  x  x              x x           x    x  x   x
x     x xxxx x    x  x  x              x x                x xx   x
x     x  xx  x    x  x  x              x x           x    x  x   x
x     x  xx  x    x  x  x              x x                xx x   x
x     x xxxx x    x  x  x              x             x    x  x   x
x     x      x    x  x  x              x x                x xx   x
x     x xxxx x    x  x  x              x x           x    x  x   x
x     x      x    x                    x x                xx x   x
x        xx       xxxxxxx              xxx           x           x
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
x                                                                x
x                                                                x
x                                                                x
x                                                                x
x                                                                x
x                                                                x
x                                                                x
x                                                                x
x                                                                x
x                                                                x
x                                                                x
x                                                                x
x                                                                x
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
